# simulation: Earthquake Building Sim
# Exported: 2025-12-20T13:04:15.291047
#
Time(s),Max_Displacement
4.8202,7.532240e+123
4.8302,1.436486e+124
4.8402,2.739546e+124
4.8502,5.224634e+124
4.8602,9.963986e+124
4.8702,1.900248e+125
4.8802,3.623995e+125
4.8902,6.911381e+125
4.9002,1.318081e+126
4.9102,2.513734e+126
4.9202,4.793984e+126
4.9302,9.142685e+126
4.9402,1.743617e+127
4.9502,3.325280e+127
4.9602,6.341697e+127
4.9702,1.209436e+128
4.9802,2.306535e+128
4.9902,4.398830e+128
5.0002,8.389082e+128
5.0102,1.599896e+129
5.0202,3.051188e+129
5.0302,5.818971e+129
5.0402,1.109746e+130
5.0502,2.116414e+130
5.0602,4.036248e+130
5.0702,7.697596e+130
5.0802,1.468021e+131
5.0902,2.799688e+131
5.1002,5.339331e+131
5.1102,1.018273e+132
5.1202,1.941965e+132
5.1302,3.703553e+132
5.1402,7.063107e+132
5.1502,1.347017e+133
5.1602,2.568918e+133
5.1702,4.899226e+133
5.1802,9.343395e+133
5.1902,1.781894e+134
5.2002,3.398280e+134
5.2102,6.480917e+134
5.2202,1.235986e+135
5.2302,2.357170e+135
5.2402,4.495398e+135
5.2502,8.573248e+135
5.2602,1.635018e+136
5.2702,3.118171e+136
5.2802,5.946715e+136
5.2902,1.134108e+137
5.3002,2.162876e+137
5.3102,4.124856e+137
5.3202,7.866582e+137
5.3302,1.500249e+138
5.3402,2.861149e+138
5.3502,5.456545e+138
5.3602,1.040627e+139
5.3702,1.984597e+139
5.3802,3.784857e+139
5.3902,7.218164e+139
5.4002,1.376588e+140
5.4102,2.625314e+140
5.4202,5.006779e+140
5.4302,9.548512e+140
5.4402,1.821012e+141
5.4502,3.472883e+141
5.4602,6.623193e+141
5.4702,1.263120e+142
5.4802,2.408917e+142
5.4902,4.594086e+142
5.5002,8.761457e+142
5.5102,1.670912e+143
5.5202,3.186624e+143
5.5302,6.077263e+143
5.5402,1.159005e+144
5.5502,2.210358e+144
5.5602,4.215410e+144
5.5702,8.039277e+144
5.5802,1.533184e+145
5.5902,2.923960e+145
5.6002,5.576333e+145
5.6102,1.063472e+146
5.6202,2.028165e+146
5.6302,3.867946e+146
5.6402,7.376625e+146
5.6502,1.406808e+147
5.6602,2.682947e+147
5.6702,5.116693e+147
5.6802,9.758131e+147
5.6902,1.860989e+148
5.7002,3.549123e+148
5.7102,6.768592e+148
5.7202,1.290849e+149
5.7302,2.461800e+149
5.7402,4.694940e+149
5.7502,8.953798e+149
5.7602,1.707594e+150
5.7702,3.256580e+150
5.7802,6.210678e+150
5.7902,1.184449e+151
5.8002,2.258882e+151
5.8102,4.307951e+151
5.8202,8.215764e+151
5.8302,1.566842e+152
5.8402,2.988150e+152
5.8502,5.698751e+152
5.8602,1.086818e+153
5.8702,2.072689e+153
5.8802,3.952860e+153
5.8902,7.538564e+153
5.9002,1.437692e+154
5.9102,2.741846e+154
5.9202,5.229021e+154
5.9302,9.972352e+154
5.9402,1.901844e+155
5.9502,3.627038e+155
5.9602,6.917184e+155
5.9702,1.319188e+156
5.9802,2.515844e+156
5.9902,4.798009e+156
6.0002,9.150362e+156
6.0102,1.745081e+157
6.0202,3.328072e+157
6.0302,6.347022e+157
6.0402,1.210451e+158
6.0502,2.308471e+158
6.0602,4.402524e+158
6.0702,8.396126e+158
6.0802,1.601239e+159
6.0902,3.053749e+159
6.1002,5.823856e+159
6.1102,1.110677e+160
6.1202,2.118191e+160
6.1302,4.039637e+160
6.1402,7.704059e+160
6.1502,1.469254e+161
6.1602,2.802038e+161
6.1702,5.343814e+161
6.1802,1.019128e+162
6.1902,1.943595e+162
6.2002,3.706662e+162
6.2102,7.069037e+162
6.2202,1.348148e+163
6.2302,2.571075e+163
6.2402,4.903340e+163
6.2502,9.351240e+163
6.2602,1.783390e+164
6.2702,3.401134e+164
6.2802,6.486358e+164
6.2902,1.237024e+165
6.3002,2.359149e+165
6.3102,4.499172e+165
6.3202,8.580446e+165
6.3302,1.636391e+166
6.3402,3.120789e+166
6.3502,5.951708e+166
6.3602,1.135060e+167
6.3702,2.164692e+167
6.3802,4.128320e+167
6.3902,7.873187e+167
6.4002,1.501508e+168
6.4102,2.863552e+168
6.4202,5.461127e+168
6.4302,1.041501e+169
6.4402,1.986263e+169
6.4502,3.788035e+169
6.4602,7.224224e+169
6.4702,1.377744e+170
6.4802,2.627518e+170
6.4902,5.010983e+170
6.5002,9.556529e+170
6.5102,1.822541e+171
6.5202,3.475799e+171
6.5302,6.628754e+171
6.5402,1.264181e+172
6.5502,2.410940e+172
6.5602,4.597943e+172
6.5702,8.768813e+172
6.5802,1.672315e+173
6.5902,3.189300e+173
6.6002,6.082366e+173
6.6102,1.159978e+174
6.6202,2.212213e+174
6.6302,4.218949e+174
6.6402,8.046027e+174
6.6502,1.534471e+175
6.6602,2.926415e+175
6.6702,5.581015e+175
6.6802,1.064365e+176
6.6902,2.029867e+176
6.7002,3.871194e+176
6.7102,7.382818e+176
6.7202,1.407989e+177
6.7302,2.685200e+177
6.7402,5.120989e+177
6.7502,9.766324e+177
6.7602,1.862552e+178
6.7702,3.552103e+178
6.7802,6.774275e+178
6.7902,1.291933e+179
6.8002,2.463867e+179
6.8102,4.698882e+179
6.8202,8.961316e+179
6.8302,1.709027e+180
6.8402,3.259314e+180
6.8502,6.215893e+180
6.8602,1.185443e+181
6.8702,2.260778e+181
6.8802,4.311568e+181
6.8902,8.222662e+181
6.9002,1.568158e+182
6.9102,2.990659e+182
